rh.aparc.thickness,rh_caudalanteriorcingulate_thickness,rh_caudalmiddlefrontal_thickness,rh_cuneus_thickness,rh_entorhinal_thickness,rh_fusiform_thickness,rh_inferiorparietal_thickness,rh_inferiortemporal_thickness,rh_isthmuscingulate_thickness,rh_lateraloccipital_thickness,rh_lateralorbitofrontal_thickness,rh_lingual_thickness,rh_medialorbitofrontal_thickness,rh_middletemporal_thickness,rh_parahippocampal_thickness,rh_paracentral_thickness,rh_parsopercularis_thickness,rh_parsorbitalis_thickness,rh_parstriangularis_thickness,rh_pericalcarine_thickness,rh_postcentral_thickness,rh_posteriorcingulate_thickness,rh_precentral_thickness,rh_precuneus_thickness,rh_rostralanteriorcingulate_thickness,rh_rostralmiddlefrontal_thickness,rh_superiorfrontal_thickness,rh_superiorparietal_thickness,rh_superiortemporal_thickness,rh_supramarginal_thickness,rh_transversetemporal_thickness,rh_insula_thickness,rh_MeanThickness_thickness,BrainSegVolNotVent,eTIV
p100,2.198,2.591,1.716,3.24,2.626,2.513,2.777,2.168,2.263,2.425,1.883,2.428,2.589,2.588,2.302,2.514,2.384,2.23,1.537,2.111,2.391,2.455,2.468,2.605,2.34,2.612,2.31,2.698,2.513,2.306,2.82,2.41906,1154004.0,1576189.757427
p110,2.109,2.656,1.807,3.553,2.632,2.507,2.762,2.56,1.999,2.628,1.919,2.405,2.759,2.532,2.395,2.618,2.853,2.573,1.44,2.215,2.36,2.618,2.45,2.664,2.538,2.807,2.364,2.901,2.623,2.701,3.051,2.51649,1196440.0,1700286.172218
p114,2.324,2.334,1.851,3.416,2.65,2.45,2.711,2.387,2.149,2.266,1.952,2.38,2.765,2.912,2.381,2.377,2.185,2.283,1.36,1.828,2.446,2.202,2.46,2.553,2.231,2.426,2.118,2.758,2.333,1.925,2.939,2.34608,1039105.0,1460419.41668
p122,2.539,2.823,1.945,3.056,2.718,2.552,3.044,2.358,2.028,2.649,1.976,2.506,2.948,2.914,2.543,2.839,2.764,2.639,1.464,2.275,2.372,2.666,2.313,2.77,2.493,2.757,2.204,2.867,2.775,2.597,3.096,2.53929,1091077.0,1492688.145829
p135,2.636,2.719,1.97,3.309,2.64,2.557,2.848,2.367,2.142,2.601,2.04,2.621,2.764,2.62,2.555,2.592,2.455,2.455,1.589,2.168,2.384,2.659,2.48,2.714,2.51,2.76,2.366,2.815,2.543,2.542,3.04,2.52757,1046631.0,1427440.428005
p142,2.299,2.557,1.868,2.937,2.461,2.448,2.645,2.117,2.179,2.327,1.824,2.24,2.669,2.457,2.241,2.477,2.546,2.379,1.368,2.175,2.198,2.392,2.382,2.542,2.326,2.633,2.241,2.746,2.611,2.143,2.914,2.38913,1212314.0,1678480.666225
p156,2.119,2.701,1.547,2.907,2.497,2.369,2.788,2.039,2.098,2.472,1.75,2.461,2.769,2.313,2.248,2.67,2.792,2.627,1.308,2.211,2.08,2.551,2.28,2.555,2.462,2.796,2.261,2.708,2.548,2.327,3.096,2.42881,1032804.0,1371263.317725
p161,2.416,2.394,1.614,2.86,2.476,2.216,2.494,2.12,2.039,2.286,1.802,2.05,2.473,2.789,2.267,2.104,2.351,2.214,2.153,1.885,2.471,2.468,2.08,2.311,2.061,2.472,1.918,2.633,2.099,1.93,2.582,2.24704,908137.0,1288310.575805
p173,2.431,2.571,1.973,3.171,2.679,2.514,2.963,2.249,2.048,2.6,2.024,2.493,2.885,2.73,2.524,2.539,2.609,2.548,1.473,2.111,2.363,2.387,2.404,2.679,2.479,2.824,2.309,2.883,2.687,2.75,3.153,2.49561,1010230.0,1402050.443113
p176,2.522,2.583,1.766,3.607,2.789,2.464,2.82,2.027,1.906,2.572,1.806,2.602,2.808,2.468,2.234,2.624,2.718,2.323,1.288,1.961,2.512,2.403,2.414,2.525,2.424,2.692,2.178,2.717,2.475,2.144,2.833,2.43531,1213984.0,1656571.697855
p184,2.338,2.436,1.772,2.992,2.504,2.378,2.57,2.209,1.959,2.47,1.808,2.369,2.669,2.271,2.271,2.511,2.512,2.307,1.377,1.897,2.377,2.262,2.161,2.429,2.311,2.516,2.101,2.649,2.346,1.966,3.12,2.30436,1203933.0,1661099.064154
p194,2.222,2.427,1.717,3.194,2.587,2.218,2.78,2.094,1.969,2.235,1.669,2.265,2.73,2.43,1.989,2.579,2.388,2.304,1.472,1.946,2.242,2.246,2.16,2.401,2.322,2.487,2.102,2.731,2.446,2.07,2.889,2.30167,1242320.0,1679933.679772
p203,2.295,2.114,1.737,2.8,2.43,2.271,2.605,2.178,2.006,2.292,1.77,2.217,2.611,2.277,2.175,2.274,2.665,2.245,1.287,1.764,2.423,2.117,2.2,2.506,2.058,2.299,1.919,2.554,2.261,1.992,2.857,2.21071,1105097.0,1445796.156898
p218,2.717,3.023,1.978,2.817,2.638,2.733,3.015,2.226,2.174,2.844,2.145,2.586,2.911,2.623,2.492,2.826,2.828,2.874,1.794,2.2,2.54,2.803,2.624,2.62,2.804,3.04,2.418,2.864,2.777,2.388,3.023,2.65417,945160.0,1243623.465747
